Province,District,Municipality
Gandaki,Lamjung,Madhya Nepal Municipality
Gandaki,Lamjung,Rainas Municipality
Gandaki,Lamjung,Sundarbazar Municipality
Gandaki,Lamjung,Dordi Rural Municipality
Gandaki,Lamjung,Dudhpokhari Rural Municipality
Gandaki,Lamjung,Kwhlosothar Rural Municipality
Gandaki,Lamjung,Marsyangdi Rural Municipality
Gandaki,Manang,Chame Rural Municipality
Gandaki,Manang,Nason Rural Municipality
Gandaki,Manang,NarpaBhumi Rural Municipality
Gandaki,Manang,Manang Ngisyang Rural Municipality
Gandaki,Mustang,Gharpajhong Rural Municipality
Gandaki,Mustang,Thasang Rural Municipality
Gandaki,Mustang,Barhagaun Muktichhetra Rural Municipality
Gandaki,Mustang,Lomanthang Rural Municipality
Gandaki,Mustang,Lo-Ghekar Damodarkunda Rural Municipality
Gandaki,Myagdi,Beni Municipality
Gandaki,Myagdi,Annapurna Rural Municipality
Gandaki,Myagdi,Dhaulagiri Rural Municipality
Gandaki,Myagdi,Mangala Rural Municipality
Gandaki,Myagdi,Malika Rural Municipality
Gandaki,Myagdi,Raghuganga Rural Municipality
Gandaki,Nawalpur,Kawasoti Municipality
Gandaki,Nawalpur,Gaindakot Municipality
Gandaki,Nawalpur,Devachuli Municipality
Gandaki,Nawalpur,Madhya Bindu Municipality
Gandaki,Nawalpur,Baudikali Rural Municipality
Gandaki,Nawalpur,Bulingtar Rural Municipality
Gandaki,Nawalpur,Binayi Tribeni Rural Municipality
Gandaki,Nawalpur,Hupsekot Rural Municipality
Gandaki,Parwat,Kushma Municipality
Gandaki,Parwat,Phalewas Municipality
Gandaki,Parwat,Jaljala Rural Municipality
Gandaki,Parwat,Paiyun Rural Municipality
Gandaki,Parwat,Mahashila Rural Municipality
Gandaki,Parwat,Modi Rural Municipality
Gandaki,Parwat,Bihadi Rural Municipality
Gandaki,Syangja,Galyang Municipality
Gandaki,Syangja,Chapakot Municipality
Gandaki,Syangja,Putalibazar Municipality
Gandaki,Syangja,Bheerkot Municipality
Gandaki,Syangja,Waling Municipality
Gandaki,Syangja,Arjun Chaupari Rural Municipality
Gandaki,Syangja,Aandhikhola Rural Municipality
Gandaki,Syangja,Kaligandaki Rural Municipality
Gandaki,Syangja,Phedikhola Rural Municipality
Gandaki,Syangja,Harinas Rural Municipality
Gandaki,Syangja,Biruwa Rural Municipality
Gandaki,Tanahun,Bhanu Municipality
Gandaki,Tanahun,Bhimad Municipality
Gandaki,Tanahun,Byas Municipality
Gandaki,Tanahun,Suklagandaki Municipality
Gandaki,Tanahun,AnbuKhaireni Rural Municipality
Gandaki,Tanahun,Devghat Rural Municipality
Gandaki,Tanahun,Bandipur Rural Municipality
Gandaki,Tanahun,Rishing Rural Municipality
Gandaki,Tanahun,Ghiring Rural Municipality
Gandaki,Tanahun,Myagde Rural Municipality
Lumbini,Kapilvastu,Kapilvastu Municipality
Lumbini,Kapilvastu,Banganga Municipality
Lumbini,Kapilvastu,Buddhabhumi Municipality
Lumbini,Kapilvastu,Shivaraj Municipality
Lumbini,Kapilvastu,Krishnanagar Municipality
Lumbini,Kapilvastu,Maharajgunj Municipality
Lumbini,Kapilvastu,Mayadevi Rural Municipality
Lumbini,Kapilvastu,Yashodhara Rural Municipality
Lumbini,Kapilvastu,Suddhodan Rural Municipality
Lumbini,Kapilvastu,Bijaynagar Rural Municipality
Lumbini,Parasi,Bardaghat Municipality
Lumbini,Parasi,Ramgram Municipality
Lumbini,Parasi,Sunwal Municipality
Lumbini,Parasi,Susta Rural Municipality
Lumbini,Parasi,Palhi Nandan Rural Municipality
Lumbini,Parasi,Pratappur Rural Municipality
Lumbini,Parasi,Sarawal Rural Municipality
Lumbini,Rupandehi,Butwal Sub-Metropolitan City
Lumbini,Rupandehi,Devdaha Municipality
Lumbini,Rupandehi,Lumbini Sanskritik Municipality
Lumbini,Rupandehi,Sainamaina Municipality
Lumbini,Rupandehi,Siddharthanagar Municipality
Lumbini,Rupandehi,Tilottama Municipality
Lumbini,Rupandehi,Gaidahawa Rural Municipality
Lumbini,Rupandehi,Kanchan Rural Municipality
Lumbini,Rupandehi,Kotahimai Rural Municipality
Lumbini,Rupandehi,Marchawari Rural Municipality
Lumbini,Rupandehi,Mayadevi Rural Municipality
Lumbini,Rupandehi,Omsatiya Rural Municipality
Lumbini,Rupandehi,Rohini Rural Municipality
Lumbini,Rupandehi,Sammarimai Rural Municipality
Lumbini,Rupandehi,Siyari Rural Municipality
